locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Dheeraj Hill View Tower, Thakur Village, Kandivali East",Mumbai,north,operational,Magathane,yes,Mindspace Malad,4.63,red,1.24,yes,yes,True,Magathane,1.24,3-6km,0,Kandivali,2.62,13.36,5,24,7,19.2097189,72.8759248,30.42,R/S Ward,Maharashtra,1,2022-06-11,2022-06-11,high,Thakur Village,place/suburb,Thakur Village,2022,2022-04-13
"Dheeraj Insignia Apartment, Bandra Kurla Complex",Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,0.0,blue,4.47,yes,no,False,Bandra Kurla Complex (BKC),1.36,0-3km,11,Kurla,1.44,2.58,18,42,5,19.067115,72.8657245,14.62,H/E Ward,Maharashtra,1,2022-07-06,2022-07-06,high,Bandra Kurla Complex,place/suburb,Bandra Kurla Complex,2022,2022-04-13
"Dheeraj Kiran CHS Walad West, Sunder Nagar",Mumbai,north,operational,Aarey,yes,Mindspace Malad,1.19,red,1.94,yes,yes,True,Lower Malad,0.45,0-3km,5,Goregaon,1.31,9.53,14,71,13,19.1732766,72.8407686,26.08,P/S Ward,Maharashtra,1,2022-07-07,2022-07-07,high,Sunder Nagar,place/locality,Sunder Nagar,2022,2022-04-13
"Dheeraj Swapna Apartment, Pali Hill",Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,4.07,blue,6.45,yes,no,False,Bandra Colony,2.41,3-6km,6,Khar Road,1.42,4.7,38,48,7,19.0649126,72.8270326,14.05,H/W Ward,Maharashtra,1,2022-07-06,2022-07-06,high,Pali Hill,place/neighbourhood,Pali Hill,2022,2022-04-13
"Dheeraj Valley Tower, Goregaon East",Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.62,red,0.37,yes,yes,True,Aarey,0.37,0-3km,5,Goregaon,0.77,8.83,14,72,6,19.1692623,72.8552548,25.71,P/S Ward,Maharashtra,1,2022-06-30,2022-06-30,high,Goregaon East,place/suburb,Goregaon East,2022,2022-04-13
"diamond garden, Chembur",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,3.65,blue,3.7,yes,no,False,Diamond Garden,0.53,3-6km,5,VNP & RC Marg Junction,0.46,5.39,32,81,13,19.054818,72.8979713,14.48,M/W Ward,Maharashtra,1,2022-06-07,2022-06-07,high,Chembur,place/suburb,Chembur,2022,2022-04-13
"diamond garden, Chembur East",Mumbai,east,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.16,blue,3.94,yes,no,False,Diamond Garden,0.0,3-6km,5,VNP & RC Marg Junction,0.8,5.92,35,82,16,19.0517191,72.9018378,14.37,M/W Ward,Maharashtra,2,2022-05-31,2022-06-16,medium,Diamond Garden,railway/station,diamond garden,2022,2022-04-13
Dina Bama Estate,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,4.02,blue,6.45,no,no,True,Aarey JVLR,5.64,3-6km,6,Bhandup,0.3,9.57,15,39,2,19.1401586,72.9370703,24.81,S Ward,Maharashtra,1,2022-05-27,2022-05-27,high,Dina Bama Estate,place/locality,Dina Bama Estate,2022,2022-04-13
"DLH Orchid, Andheri West",Mumbai,west,operational,Azad Nagar,yes,SEEPZ Andheri East,2.13,blue,1.14,yes,yes,True,Azad Nagar,1.14,0-3km,13,Andheri,1.34,4.28,33,91,15,19.1172495,72.833968,19.84,K/W Ward,Maharashtra,1,2022-07-07,2022-07-07,high,Andheri West,place/suburb,Andheri West,2022,2022-04-13
"DLH Orchid, Lokhandwala Complex",Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,3.29,blue,1.47,yes,yes,True,Lower Oshiwara,0.79,3-6km,7,Jogeshwari (Harbour Line),2.62,7.13,28,67,21,19.1430985,72.8246055,22.75,K/W Ward,Maharashtra,1,2022-06-28,2022-06-28,high,Lokhandwala Complex,place/neighbourhood,Lokhandwala Complex,2022,2022-04-13
