locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof
"Kanakia Rainforest, Marol",Mumbai,east,operational,Airport Road,yes,MIDC Andheri East,0.53,blue,0.6,yes,yes,TRUE,MIDC - Andheri,0.53,0-3km,21,Andheri,3.33,3.11,13,46,5,19.1144347,72.8776145,20.03,K/E Ward,Maharashtra,1,6/17/2022,6/17/2022,high,Marol Village,place/neighbourhood,Marol,2022,4/13/2022
"Kanakia Sanskruti, Thakur Complex",Mumbai,north,operational,Magathane,yes,Mindspace Malad,3.88,red,0.67,yes,yes,TRUE,Magathane,0.67,3-6km,0,Kandivali,1.54,13.47,6,59,12,19.2112442,72.8643107,30.45,R/S Ward,Maharashtra,1,5/27/2022,5/27/2022,medium,Thakur Complex,landuse/residential,Thakur Complex,2022,4/13/2022
"Kanakia Sevens, Andheri East",Mumbai,west,operational,Western Express Highway,yes,SEEPZ Andheri East,0,blue,0.23,yes,yes,TRUE,Gundavali,0.18,0-3km,15,Andheri,0.92,3,36,92,5,19.1158835,72.854202,19.79,K/E Ward,Maharashtra,1,6/23/2022,6/23/2022,high,Andheri East,place/suburb,Andheri East,2022,4/13/2022
"Kanakia Sevens, Marol Maroshi Road",Mumbai,east,operational,Marol Naka L1,yes,MIDC Andheri East,1.52,blue,0.56,yes,yes,TRUE,Marol Naka L1,0.56,0-3km,20,Vidyavihar,3.49,3.08,11,42,11,19.1086855,72.8847413,19.59,K/E Ward,Maharashtra,1,5/19/2022,5/19/2022,medium,Kanakia Sevens,landuse/residential,Kanakia Sevens,2022,4/13/2022
Kandivali East,Mumbai,north,operational,Poisar,yes,Mindspace Malad,3.26,red,0.19,yes,yes,TRUE,Poisar,0.19,3-6km,1,Kandivali,1.15,12.79,14,67,10,19.2051958,72.8626165,29.76,R/S Ward,Maharashtra,2,5/5/2022,7/7/2022,high,Kandivali East,place/suburb,Kandivali East,2022,4/13/2022
Kandivali West,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,TRUE,Dahanukarwadi,0.54,0-3km,1,Kandivali,1.25,13.05,25,98,10,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,6,4/29/2022,7/7/2022,high,Kandivali West,place/suburb,Kandivali West,2022,4/13/2022
Kanjurmarg East,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,2.37,blue,5.21,no,no,TRUE,Jagruti Nagar,5.21,0-3km,6,Kanjur Marg,1.23,8.81,11,17,4,19.1240536,72.9386742,23.28,S Ward,Maharashtra,3,4/29/2022,6/16/2022,low,Kanjurmarg Bypass Road,highway/trunk,Kanjurmarg East,2022,4/13/2022
Kanjurmarg West,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.04,blue,5.14,no,no,TRUE,Aarey JVLR,4.52,3-6km,6,Kanjur Marg,0.39,8.22,42,45,13,19.1321171,72.9273332,23.57,S Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,Dockyard kanjurmarg St,highway/bus_stop,Kanjurmarg West,2022,4/13/2022
"Kanungos Garden City, Mira Road East",Mumbai,north,none,Anand Nagar,no,Mindspace Malad,12.9,yellow,4.49,no,no,TRUE,Kashigaon,2.65,6km+,0,Bhayandar,2,23.06,10,62,4,19.2975579,72.8662931,40.02,Mira,Maharashtra,1,7/7/2022,7/7/2022,medium,Kanungo's Garden City,landuse/residential,Kanungos Garden City,2022,4/13/2022
"Kaustubh Platinum, Datta Pada",Mumbai,north,none,Kandarpada,no,Mindspace Malad,28.7,yellow,20.76,no,no,TRUE,Kashigaon,19.16,6km+,0,Virar,1.99,39.3,0,20,0,19.441645,72.8240682,55.93,Virar East,Maharashtra,1,6/11/2022,6/11/2022,low,Datta Mandir,amenity/place_of_worship,Datta Pada,2022,4/13/2022
